qid,protocol_question,field_name,gpt_question,example_answer,tokens_per_answer,tokens_per_questions,question_type,is_kpi_field,question_score
45,ETL. Deposition. Solvents. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,"What is the ETL Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:""Pro analysis; Pro analysis; Pro analysis | Puris >> Pro analysis""",Pro analysis; Pro analysis; Pro analysis | Puris >> Pro analysis,,58,string_seq,False,
46,ETL. Deposition. Reaction solutions. Compounds [C1; C2 >> C3; … >> … | C4; C5 | C6 | ...],,"What is the ETL Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ], Example:""Titanium diisopropoxide bis(acetylacetonate) | TiO2-np >> Li-TFSI""",Titanium diisopropoxide bis(acetylacetonate) | TiO2-np >> Li-TFSI,,68,string_seq,False,
47,ETL. Deposition. Reaction solutions. Compounds. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,"What is the ETL Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:""Sigma Aldrich | Dysole >> Sigma Aldrich""",Sigma Aldrich | Dysole >> Sigma Aldrich,,54,string_seq,False,
48,ETL. Deposition. Reaction solutions. Compounds. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,"What is the ETL Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:""Pro analysis | Tecnical >> Pro analysis""",Pro analysis | Tecnical >> Pro analysis,,54,string_seq,False,
49,ETL. Deposition. Reaction solutions. Concentrations [c1 M; c2 mol/dm3 >> c3 mg/ml; … >> ... | c4 wt%; c5 vol% | c6 ppm |...],,"What is the ETL Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |], Example:""6 vol% | 150 mg/ml >> 10 mg/ml""",6 vol% | 150 mg/ml >> 10 mg/ml,,68,string_seq,False,
50,ETL. Deposition. Reaction solutions. Volumes [V1 >> V2 >> ... | V3 >> … | V4 | ... ] [ml],,"What is the ETL Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ], Example:""10 | 0.05 >> 0.05""",10 | 0.05 >> 0.05,,49,int_seq,False,
51,ETL. Deposition. Reaction solutions. Age [A1 >> A2 >> ... | A3 >> … | A4 | ... ] [h],,"What is the ETL Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ], Example:""0.5 | 1000 >> 1000""",0.5 | 1000 >> 1000,,48,float_seq,False,
52,ETL. Deposition. Reaction solutions. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,"What is the ETL Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:""25 | 25 >> 25""",25 | 25 >> 25,,49,int_seq,False,
53,ETL. Deposition. Substrate. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,"What is the ETL Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:""125; 325; 375; 450 | 25 >> 25 """,125; 325; 375; 450 | 25 >> 25 ,,58,string_seq,False,
54,ETL. Deposition. Thermal annealing. Temperature [T1; T2 >> T3; ... >> ... | T4 >> … | T5 | ... ] [deg. C],,"What is the ETL Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:""450 | 125; 325; 375; 450 >> 125; 325; 375; 450""",450 | 125; 325; 375; 450 >> 125; 325; 375; 450,,68,int_seq,False,
55,ETL. Deposition. Thermal annealing. Time [t1; t2 >> t3; ... >> ... | t4 >> … | t5 | ... ] [min],,"What is the ETL Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ], Example:""30 | 5; 5; 5; 30 >> 5; 5; 5; 30""",30 | 5; 5; 5; 30 >> 5; 5; 5; 30,,68,int_seq,False,
56,ETL. Deposition. Thermal annealing. Atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,"What is the ETL Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:""Air | Air >> Air""",Air | Air >> Air,,49,string_seq,False,
57,ETL. Storage. Time until next deposition step [h],,"What is the ETL Storage Time until next deposition step? Format of answer: [h], Example:""1""",True,,23,boolean,False,
58,ETL. Storage. Atmosphere [Gas1; Gas2; ...],,"What is the ETL Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:""N2""",N2,,26,string,False,
59,ETL. Storage. Relative humidity [%] ,,"What is the ETL Storage Relative humidity? Format of answer: [%]], Example:""0""",False,,19,boolean,False,
60,ETL. Surface treatment before next deposition step,,"What is the ETL Surface treatment before next deposition step, Example:""None""",None,,16,string,False,
61,Perovskite. Single crystal [TRUE/FALSE],Perovskite_single_crystal,"What is the Perovskite Single crystal? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,23,boolean,True,1.5
62,Perovskite. Dimension. 0D (Quantum dot) [TRUE/FALSE],Perovskite_dimension_0D,"What is the Perovskite Dimension 0D (Quantum dot)? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,29,boolean,True,1.5
63,Perovskite. Dimension. 2D [TRUE/FALSE],Perovskite_dimension_2D,"What is the Perovskite Dimension 2D? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,25,boolean,True,1.5
64,Perovskite. Dimension. 2D/3D mixture [TRUE/FALSE],Perovskite_dimension_2D3D_mixture,"What is the Perovskite Dimension 2D/3D mixture? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,29,boolean,True,1.5
65,Perovskite. Dimension. 3D [TRUE/FALSE],Perovskite_dimension_3D,"What is the Perovskite Dimension 3D? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,25,boolean,True,1.5
66,Perovskite. Dimension. 3D with 2D capping layer [TRUE/FALSE],,"What is the Perovskite Dimension 3D with 2D capping layer? Format of answer: [TRUE/FALSE], Example:""False""",False,,32,boolean,False,
67,Perovskite. Dimension. List of layers [Dim.1 | Dim.2 | …],Perovskite_dimension_list_of_layers,"What is the Perovskite Dimension List of layers? Format of answer: [Dim1 | Dim2 | …], Example:""3""",3,3.0,29,int,True,1.0
68,Perovskite. Composition. Perovskite ABC3 structure [TRUE/FALSE] ,,"What is the Perovskite Composition Perovskite ABC3 structure? Format of answer: [TRUE/FALSE]], Example:""True""",True,,29,boolean,False,
69,Perovskite. Composition. Perovskite inspired structure [TRUE/FALSE],Perovskite_composition_perovskite_inspired_structure,"What is the Perovskite Composition Perovskite inspired structure? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,28,boolean,True,2.5
70,Perovskite. Composition. A-ions [Ion.1; Ion.2; … | Ion.3; … | ...],Perovskite_composition_a_ions,"What is the Perovskite Composition A-ions? Format of answer: [Ion1; Ion2; … | Ion3; … | ], Example:""Cs; FA; MA""",Cs; FA; MA,1.8,39,string,True,3.5
71,Perovskite. Composition. A-ions. Coefficients [Cof.1; Cof.2; … | Cof.3; … | ...],Perovskite_composition_a_ions_coefficients,"What is the Perovskite Composition A-ions Coefficients? Format of answer: [Cof1; Cof2; … | Cof3; … | ], Example:""0.05; 0.79; 0.16""",0.05; 0.79; 0.16,3.2,53,string,True,3.5
72,Perovskite. Composition. B-ions [Ion.1; Ion.2; … | Ion.3; … | ...],Perovskite_composition_b_ions,"What is the Perovskite Composition B-ions? Format of answer: [Ion1; Ion2; … | Ion3; … | ], Example:""Pb""",Pb,2.0,36,string,True,3.5
73,Perovskite. Composition. B-ions. Coefficients [Cof.1; Cof.2; … | Cof.3; … | ...],Perovskite_composition_b_ions_coefficients,"What is the Perovskite Composition B-ions Coefficients? Format of answer: [Cof1; Cof2; … | Cof3; … | ], Example:""1""",True,1.2,41,boolean,True,3.5
74,Perovskite. Composition. C-ions [Ion.1; Ion.2; … | Ion.3; … | ...],Perovskite_composition_c_ions,"What is the Perovskite Composition C-ions? Format of answer: [Ion1; Ion2; … | Ion3; … | ], Example:""Cs; FA; MA""",Cs; FA; MA,1.5,39,string,True,3.5
75,Perovskite. Composition. C-ions. Coefficients [Cof.1; Cof.2; … | Cof.3; … | ...],Perovskite_composition_c_ions_coefficients,"What is the Perovskite Composition C-ions Coefficients? Format of answer: [Cof1; Cof2; … | Cof3; … | ], Example:""0.49; 2.51""",0.49; 2.51,2.5,48,string,True,3.5
76,Perovskite. Composition. None-stoichiometry. Components in excess [Com.1; Com.2; … | Com.3; … | ...],,"What is the Perovskite Composition None-stoichiometry Components in excess? Format of answer: [Com1; Com2; … | Com3; … | ], Example:""PbI2""",PbI2,,43,string,False,
77,Perovskite. Composition. Assumption [Solution composition/Experimental verification/Literature/ …],,"What is the Perovskite Composition Assumption? Format of answer: [Solution composition/Experimental verification/Literature/ …], Example:""Solution composition""",Solution composition,,32,string,False,
78,Perovskite. Composition. Inorganic perovskite [TRUE/FALSE],Perovskite_composition_inorganic,"What is the Perovskite Composition Inorganic perovskite? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,28,boolean,True,2.0
79,Perovskite. Composition. Lead free [TRUE/FALSE],Perovskite_composition_leadfree,"What is the Perovskite Composition Lead free? Format of answer: [TRUE/FALSE], Example:""False""",False,1.0,24,boolean,True,2.0
80,Perovskite. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; … | Addt.4 | ... ],,"What is the Perovskite Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ], Example:""Undoped""",Undoped,,44,string,False,
81,Perovskite. Additives. Concentrations [c1 M; c2 wt%; … | c3 vol%; ... | c4 mg/ml | ...],,What is the Perovskite Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ],,,40,string,False,
82,Perovskite. Thickness [Th.1 | Th.2 | … | Th.n ] [nm],,"What is the Perovskite Thickness? Format of answer: [Th1 | Th2 | … | Thn ], Example:""400""",400,,29,int,False,
83,Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],,"What is the Perovskite Band gap? Format of answer: [Eg1 | Eg2 | ], Example:""1.62""",1.62,,29,float,False,
84,Perovskite. Band gap. Graded [TRUE/FALSE | TRUE/FALSE | ...],Perovskite_band_gap_graded,"What is the Perovskite Band gap Graded? Format of answer: [TRUE/FALSE | TRUE/FALSE | ], Example:""False""",False,1.0,30,boolean,True,4.0
85,Perovskite. Band gap. Estimation basis [Absorption/Composition/Literature/EQE/…],,"What is the Perovskite Band gap Estimation basis? Format of answer: [Absorption/Composition/Literature/EQE/…], Example:""Absorption""",Absorption,,35,string,False,
86,Perovskite. Pl max [PL.1; PL.2; … | PL.3; … | ...] [nm],,"What is the Perovskite Pl max? Format of answer: [PL1; PL2; … | PL3; … | ], Example:""820""",820,,33,int,False,
87,Perovskite. Deposition. Number of deposition steps,Perovskite_deposition_number_of_deposition_steps,"What is the Perovskite Deposition Number of deposition steps, Example:""True""",True,3.0,18,boolean,True,2.5
88,Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> … | Proc. 4 | ... ],Perovskite_deposition_procedure,"What is the Perovskite Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:""Spin-coating""",Spin-coating,3.9,44,string,True,4.0
89,Perovskite. Deposition. Aggregation state of reactants (Liquid/Gas/Solid) [Agr. 1 >> Agr. 2 >> ... | Agr. 3 >> … | Agr. 4 | ... ],Perovskite_deposition_aggregation_state_of_reactants,"What is the Perovskite Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ], Example:""Liquid""",Liquid,1.6,54,string,True,2.5
90,Perovskite. Deposition. Synthesis atmosphere [Gas1; Gas2 >> Gas3; ... >> ... | Gas4 >> … | Gas5 | ... ],,"What is the Perovskite Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:""Air; O2 | Air""",Air; O2 | Air,,50,string_seq,False,
91,Perovskite. Deposition. Synthesis atmosphere. Pressure. Total [P.1 >> P.2 >> ... | P.3 >> … | P.4 | ... ] [atm/Torr/Pa/bar/mmHg],,"What is the Perovskite Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:""1 atm""",1 atm,,43,string,False,
92,Perovskite. Deposition. Synthesis atmosphere. Pressure. Partial [P.1; P.2 >> P.3 >> ... | P.4 >> … | P.5 | ... ] [atm/Torr/Pa/bar/mmHg],,"What is the Perovskite Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ], Example:""1 atm""",1 atm,,46,string,False,
93,Perovskite. Deposition. Synthesis atmosphere. Relative humidity [RH1 >> RH2 >> ... | RH3 >> … | RH4 | ... ] [%],,"What is the Perovskite Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:""45""",45,,42,int,False,
94,Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> … | Sol.5 | ... ],Perovskite_deposition_solvents,"What is the Perovskite Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ], Example:""DMF; DMSO""",DMF; DMSO,4.6,49,string,True,3.5
95,Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> … | 1 | ... ],,"What is the Perovskite Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ], Example:""4; 1""",4; 1,,53,string,False,
96,Perovskite. Deposition. Solvents. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,"What is the Perovskite Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:""Sigma Aldrich; Sigma Aldrich""",Sigma Aldrich; Sigma Aldrich,,51,string,False,
97,Perovskite. Deposition. Solvents. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,"What is the Perovskite Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:""Pro analysis; Pro analysis""",Pro analysis; Pro analysis,,51,string,False,
98,Perovskite. Deposition. Reaction solutions. Compounds [C1; C2 >> C3; … >> … | C4; C5 | C6 | ...],,"What is the Perovskite Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ], Example:""CsI; FAI; MAI; PbBr2; PbI2""",CsI; FAI; MAI; PbBr2; PbI2,,61,string,False,
99,Perovskite. Deposition. Reaction solutions. Compounds. Supplier [Sup.1; Sup.2 >> Sup.3; ... >> ... | Sup.4 >> … | Sup.5 | ... ],,"What is the Perovskite Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:""Dysole; Dyenamo; Dyenamo; TCL; TCL""",Dysole; Dyenamo; Dyenamo; TCL; TCL,,61,string,False,
100,Perovskite. Deposition. Reaction solutions. Compounds. Purity [Pur.1; Pur.2 >> Pur.3; ... >> ... | Pur.4 >> … | Pur.5 | ... ],,"What is the Perovskite Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:""Unknown; Tecnical; Pro analysis; Pro analysis; Puris""",Unknown; Tecnical; Pro analysis; Pro analysis; Puris,,61,string,False,
101,Perovskite. Deposition. Reaction solutions. Concentrations [c1 M; c2 mol/dm3 >> c3 mg/ml; … >> ... | c4 wt%; c5 vol% | c6 ppm |...],,"What is the Perovskite Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |], Example:""0.063 M; 1.25 M; 1.25 M; 1.14 M; 1.14 M""",0.063 M; 1.25 M; 1.25 M; 1.14 M; 1.14 M,,85,string,False,
102,Perovskite. Deposition. Reaction solutions. Volumes [V1 >> V2 >> ... | V3 >> … | V4 | ... ] [ml],,"What is the Perovskite Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ], Example:""0.4""",0.4,,43,float,False,
103,Perovskite. Deposition. Reaction solutions. Age [A1 >> A2 >> ... | A3 >> … | A4 | ... ] [h],,"What is the Perovskite Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ], Example:""1""",True,,40,boolean,False,
