What is the Ref Name of person entering the data, Example:"T. Jesper Jacobsson"
What is the ETL Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:"Spray-pyrolys | Spin-coating >> Spin-coating"
What is the ETL Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ], Example:"Liquid | Liquid"
What is the ETL Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:"Air; O2 | Air"
What is the ETL Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:"1 atm | 1 atm"
What is the ETL Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ], Example:"1 atm; 1 bar | 1 atm"
What is the ETL Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:"35 | 35"
What is the ETL Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ], Example:"Acetonitil; Acetyl aceton; IPA | Ethanol >> Acetonitrile"
What is the ETL Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ], Example:"9:0.4:0.6 | 1 >> 1"
What is the ETL Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:"Sigma Aldrich; Sigma Aldrich; Fisher | Sigma Aldrich >> Acros"
What is the ETL Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:"Pro analysis; Pro analysis; Pro analysis | Puris >> Pro analysis"
What is the ETL Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ], Example:"Titanium diisopropoxide bis(acetylacetonate) | TiO2-np >> Li-TFSI"
What is the ETL Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:"Sigma Aldrich | Dysole >> Sigma Aldrich"
What is the ETL Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:"Pro analysis | Tecnical >> Pro analysis"
What is the ETL Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |], Example:"6 vol% | 150 mg/ml >> 10 mg/ml"
What is the ETL Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ], Example:"10 | 0.05 >> 0.05"
What is the ETL Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ], Example:"0.5 | 1000 >> 1000"
What is the ETL Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"25 | 25 >> 25"
What is the ETL Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"125; 325; 375; 450 | 25 >> 25 "
What is the ETL Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"450 | 125; 325; 375; 450 >> 125; 325; 375; 450"
What is the ETL Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ], Example:"30 | 5; 5; 5; 30 >> 5; 5; 5; 30"
What is the ETL Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:"Air | Air >> Air"
What is the ETL Storage Time until next deposition step? Format of answer: [h], Example:"1"
What is the ETL Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:"N2"
What is the ETL Storage Relative humidity? Format of answer: [%]], Example:"0"
What is the ETL Surface treatment before next deposition step, Example:"None"
What is the Perovskite Single crystal? Format of answer: [TRUE/FALSE], Example:"False"
What is the Perovskite Dimension 0D (Quantum dot)? Format of answer: [TRUE/FALSE], Example:"False"
What is the Perovskite Dimension 2D? Format of answer: [TRUE/FALSE], Example:"False"
What is the Perovskite Dimension 2D/3D mixture? Format of answer: [TRUE/FALSE], Example:"False"
What is the Perovskite Dimension 3D? Format of answer: [TRUE/FALSE], Example:"True"
What is the Perovskite Dimension 3D with 2D capping layer? Format of answer: [TRUE/FALSE], Example:"False"
What is the Perovskite Dimension List of layers? Format of answer: [Dim1 | Dim2 | …], Example:"3"
What is the Perovskite Composition Perovskite ABC3 structure? Format of answer: [TRUE/FALSE]], Example:"True"
What is the Perovskite Composition Perovskite inspired structure? Format of answer: [TRUE/FALSE], Example:"False"
What is the Perovskite Composition A-ions? Format of answer: [Ion1; Ion2; … | Ion3; … | ], Example:"Cs; FA; MA"
What is the Perovskite Composition A-ions Coefficients? Format of answer: [Cof1; Cof2; … | Cof3; … | ], Example:"0.05; 0.79; 0.16"
What is the Perovskite Composition B-ions? Format of answer: [Ion1; Ion2; … | Ion3; … | ], Example:"Pb"
What is the Perovskite Composition B-ions Coefficients? Format of answer: [Cof1; Cof2; … | Cof3; … | ], Example:"1"
What is the Perovskite Composition C-ions? Format of answer: [Ion1; Ion2; … | Ion3; … | ], Example:"Cs; FA; MA"
What is the Perovskite Composition C-ions Coefficients? Format of answer: [Cof1; Cof2; … | Cof3; … | ], Example:"0.49; 2.51"
What is the Perovskite Composition None-stoichiometry Components in excess? Format of answer: [Com1; Com2; … | Com3; … | ], Example:"PbI2"
What is the Perovskite Composition Assumption? Format of answer: [Solution composition/Experimental verification/Literature/ …], Example:"Solution composition"
What is the Perovskite Composition Inorganic perovskite? Format of answer: [TRUE/FALSE], Example:"False"
What is the Perovskite Composition Lead free? Format of answer: [TRUE/FALSE], Example:"False"
What is the Perovskite Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ], Example:"Undoped"
What is the Perovskite Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ]
What is the Perovskite Thickness? Format of answer: [Th1 | Th2 | … | Thn ], Example:"400"
What is the Perovskite Band gap? Format of answer: [Eg1 | Eg2 | ], Example:"1.62"
What is the Perovskite Band gap Graded? Format of answer: [TRUE/FALSE | TRUE/FALSE | ], Example:"False"
What is the Perovskite Band gap Estimation basis? Format of answer: [Absorption/Composition/Literature/EQE/…], Example:"Absorption"
What is the Perovskite Pl max? Format of answer: [PL1; PL2; … | PL3; … | ], Example:"820"
What is the Perovskite Deposition Number of deposition steps, Example:"True"
What is the Perovskite Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:"Spin-coating"
What is the Perovskite Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ], Example:"Liquid"
What is the Perovskite Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:"Air; O2 | Air"
What is the Perovskite Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:"1 atm"
What is the Perovskite Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ], Example:"1 atm"
What is the Perovskite Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:"45"
What is the Perovskite Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ], Example:"DMF; DMSO"
What is the Perovskite Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ], Example:"4; 1"
What is the Perovskite Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:"Sigma Aldrich; Sigma Aldrich"
What is the Perovskite Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:"Pro analysis; Pro analysis"
What is the Perovskite Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ], Example:"CsI; FAI; MAI; PbBr2; PbI2"
What is the Perovskite Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:"Dysole; Dyenamo; Dyenamo; TCL; TCL"
What is the Perovskite Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:"Unknown; Tecnical; Pro analysis; Pro analysis; Puris"
What is the Perovskite Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |], Example:"0.063 M; 1.25 M; 1.25 M; 1.14 M; 1.14 M"
What is the Perovskite Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ], Example:"0.4"
What is the Perovskite Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ], Example:"1"
What is the Perovskite Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"80; 25"
What is the Perovskite Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"25"
What is the Perovskite Deposition Quenching induced crystallisation? Format of answer: [TRUE/FALSE], Example:"True"
What is the Perovskite Deposition Quenching media? Format of answer: [Sol1; Sol2; …], Example:"Chlorobenzene"
What is the Perovskite Deposition Quenching media Mixing ratios? Format of answer: [V1; V2: ], Example:"1"
What is the Perovskite Deposition Quenching media Volume? Format of answer: [µl], Example:"100"
What is the Perovskite Deposition Quenching media Additives Compounds? Format of answer: [Addt1; Addt2;  ], Example:"none"
What is the Perovskite Deposition Quenching media Additives Concentrations? Format of answer: [c1 M; c2 wt%; c3 mg/ml; ]
What is the Perovskite Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"100"
What is the Perovskite Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ], Example:"60"
What is the Perovskite Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:"N2"
What is the Perovskite Deposition Thermal annealing Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:"0"
What is the Perovskite Deposition Thermal annealing Pressure? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:"1 atm"
What is the Perovskite Deposition Solvent annealing? Format of answer: [TRUE/FALSE], Example:"True"
What is the Perovskite Deposition Solvent annealing Time vs thermal annealing? Format of answer: [Before/Under/After/], Example:"Under"
What is the Perovskite Deposition Solvent annealing Solvent atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:"Air; O2 | Air"
What is the Perovskite Deposition Solvent annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ], Example:"10"
What is the Perovskite Deposition Solvent annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"100"
What is the Perovskite Deposition After treatment of formed perovskite, Example:"none"
What is the Perovskite Deposition After treatment of formed perovskite Metrics
What is the Perovskite Storage Time until next deposition step? Format of answer: [h], Example:"1"
What is the Perovskite Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:"N2"
What is the Perovskite Storage Relative humidity? Format of answer: [%]], Example:"0"
What is the Perovskite Surface treatment before next deposition step, Example:"None"
What is the HTL Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:"Spiro-MeOTAD"
What is the HTL Thickness? Format of answer: [Th1 | Th2 | … | Thn ], Example:"200"
What is the HTL Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ], Example:"FK209; Li-TFSI; TBP"
What is the HTL Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ], Example:"2.45 mM; 40 mM; 270 mM"
What is the HTL Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:"Spin-coating"
What is the HTL Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ], Example:"Liquid"
What is the HTL Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:"N2"
What is the HTL Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:"1 atm"
What is the HTL Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ], Example:"1 atm"
What is the HTL Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:"0"
What is the HTL Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ], Example:"Chlorobenzene"
What is the HTL Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ], Example:"1"
What is the HTL Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:"Sigma Aldrich"
What is the HTL Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:"Pro analysis"
What is the HTL Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ], Example:"FK209; Li-TFSI; Spiro-MeOTAD; TBP"
What is the HTL Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:"Dysole; Sigma Aldrich; Dyenamo; Sigma Aldrich"
What is the HTL Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:"99.9; Pro analysis; Tecnical; Puris"
What is the HTL Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |], Example:"2.45 mM; 40 mM; 81.6 mM; 270 mM"
What is the HTL Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ], Example:"0.05"
What is the HTL Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ], Example:"3"
What is the HTL Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"25"
What is the HTL Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"25"
What is the HTL Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"25"
What is the HTL Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ], Example:"0"
What is the HTL Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:"N2"
What is the HTL Storage Time until next deposition step? Format of answer: [h], Example:"24"
What is the HTL Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:"Air"
What is the HTL Storage Relative humidity? Format of answer: [%]], Example:"10"
What is the HTL Surface treatment before next deposition step, Example:"none"
What is the Backcontact Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:"Au"
What is the Backcontact Thickness List? Format of answer: [Th1 | Th2 | … | Thn ], Example:"80"
What is the Backcontact Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ], Example:"Undoped"
What is the Backcontact Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ]
What is the Backcontact Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ], Example:"Evaporation"
What is the Backcontact Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ], Example:"Gas"
What is the Backcontact Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:"Vacuum"
What is the Backcontact Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ], Example:"0.00003 mbar"
What is the Backcontact Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ], Example:"0.00003 mbar"
What is the Backcontact Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ], Example:"0"
What is the Backcontact Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ], Example:"none"
What is the Backcontact Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ], Example:"1"
What is the Backcontact Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:"none"
What is the Backcontact Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:"none"
What is the Backcontact Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ], Example:"Au"
What is the Backcontact Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ], Example:"Sigma Aldrich"
What is the Backcontact Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ], Example:"99.99"
What is the Backcontact Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |]
What is the Backcontact Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ]
What is the Backcontact Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ]
What is the Backcontact Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ]
What is the Backcontact Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"25"
What is the Backcontact Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ], Example:"25"
What is the Backcontact Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ], Example:"0"
What is the Backcontact Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ], Example:"Air"
What is the Backcontact Storage Time until next deposition step? Format of answer: [h], Example:"24"
What is the Backcontact Storage Atmosphere? Format of answer: [Gas1; Gas2; ], Example:"Air"
What is the Backcontact Storage Relative humidity? Format of answer: [%]], Example:"10"
What is the Backcontact Surface treatment before next deposition step, Example:"none"
What is the Add Lay Front? Format of answer: [TRUE/FALSE], Example:"True"
What is the Add Lay Front Function? Format of answer: [ARC/Upconversion/Down conversion/Back reflection/ ], Example:"A.R.C."
What is the Add Lay Front Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ], Example:"MgF2"
What is the Add Lay Front Thickness List? Format of answer: [Th1 | Th2 | … | Thn ], Example:"80"
What is the Add Lay Front Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ]
What is the Add Lay Front Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ]
What is the Add Lay Front Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ]
What is the Add Lay Front Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ]
What is the Add Lay Front Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ]
What is the Add Lay Front Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ]
What is the Add Lay Front Deposition Synthesis atmosphere Pressure Partial? Format of answer: [P1; P2 >> P3 >>  | P4 >> … | P5 |  ]
What is the Add Lay Front Deposition Synthesis atmosphere Relative humidity? Format of answer: [RH1 >> RH2 >>  | RH3 >> … | RH4 |  ]
What is the Add Lay Front Deposition Solvents? Format of answer: [Sol1; Sol2 >> Sol3;  >>  | Sol4 >> … | Sol5 |  ]
What is the Add Lay Front Deposition Solvents Mixing ratios? Format of answer: [V1; V2 >> V3; V4 >>  | V5; V6 >> … | 1 |  ]
What is the Add Lay Front Deposition Solvents Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ]
What is the Add Lay Front Deposition Solvents Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ]
What is the Add Lay Front Deposition Reaction solutions Compounds? Format of answer: [C1; C2 >> C3; … >> … | C4; C5 | C6 | ]
What is the Add Lay Front Deposition Reaction solutions Compounds Supplier? Format of answer: [Sup1; Sup2 >> Sup3;  >>  | Sup4 >> … | Sup5 |  ]
What is the Add Lay Front Deposition Reaction solutions Compounds Purity? Format of answer: [Pur1; Pur2 >> Pur3;  >>  | Pur4 >> … | Pur5 |  ]
What is the Add Lay Front Deposition Reaction solutions Concentrations? Format of answer: [c1 M; c2 mol/dm3 >> c3 mg/ml; … >>  | c4 wt%; c5 vol% | c6 ppm |]
What is the Add Lay Front Deposition Reaction solutions Volumes? Format of answer: [V1 >> V2 >>  | V3 >> … | V4 |  ]
What is the Add Lay Front Deposition Reaction solutions Age? Format of answer: [A1 >> A2 >>  | A3 >> … | A4 |  ]
What is the Add Lay Front Deposition Reaction solutions Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ]
What is the Add Lay Front Deposition Substrate Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ]
What is the Add Lay Front Deposition Thermal annealing Temperature? Format of answer: [T1; T2 >> T3;  >>  | T4 >> … | T5 |  ]
What is the Add Lay Front Deposition Thermal annealing Time? Format of answer: [t1; t2 >> t3;  >>  | t4 >> … | t5 |  ]
What is the Add Lay Front Deposition Thermal annealing Atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ]
What is the Add Lay Front Storage Time until next deposition step? Format of answer: [h]
What is the Add Lay Front Storage Atmosphere? Format of answer: [Gas1; Gas2; ]
What is the Add Lay Front Storage Relative humidity? Format of answer: [%]]
What is the Add Lay Front Surface treatment before next deposition step
What is the Add Lay Back? Format of answer: [TRUE/FALSE], Example:"False"
What is the Add Lay Back Function? Format of answer: [ARC/Upconversion/Down conversion/Back reflection/ ]
What is the Add Lay Back Stack sequence? Format of answer: [Mat1; Mat2;  | Mat3;  | Mat4 | ]
What is the Add Lay Back Thickness List? Format of answer: [Th1 | Th2 | … | Thn ]
What is the Add Lay Back Additives Compounds? Format of answer: [Addt1; Addt2;  | Addt3; … | Addt4 |  ]
What is the Add Lay Back Additives Concentrations? Format of answer: [c1 M; c2 wt%; … | c3 vol%;  | c4 mg/ml | ]
What is the Add Lay Back Deposition Procedure? Format of answer: [Proc 1 >> Proc 2 >>  | Proc 3 >> … | Proc 4 |  ]
What is the Add Lay Back Deposition Aggregation state of reactants (Liquid/Gas/Solid)? Format of answer: [Agr 1 >> Agr 2 >>  | Agr 3 >> … | Agr 4 |  ]
What is the Add Lay Back Deposition Synthesis atmosphere? Format of answer: [Gas1; Gas2 >> Gas3;  >>  | Gas4 >> … | Gas5 |  ]
What is the Add Lay Back Deposition Synthesis atmosphere Pressure Total? Format of answer: [P1 >> P2 >>  | P3 >> … | P4 |  ]
